City,country,city_coord
Paris,France,"[48.856663, 2.351556]"
Stockholm,Sweden,"[59.325, 18.070897]"
London,United Kingdom,"[51.507351, -0.12766]"
Berlin,Germany,"[52.518654, 13.374711]"
Munich,Germany,"[48.137187, 11.575691]"
Porto,Portugal,"[41.157963, -8.629154]"
Milan,Italy,"[45.469436, 9.180621]"
Bratislava,Slovakia,"[48.143488, 17.108361]"
Vienna,Austria,"[48.206481, 16.363451]"
Rome,Italy,"[41.902689, 12.496176]"
Barcelona,Spain,"[41.392696, 2.144449]"
Madrid,Spain,"[40.419348, -3.700897]"
Dublin,Ireland,"[53.340258, -6.252831]"
Brussels,Belgium,"[50.846697, 4.352535]"
Zurich,Switzerland,"[47.386966, 8.534139]"
Warsaw,Poland,"[52.23209, 21.007139]"
Budapest,Hungary,"[47.492647, 19.051399]"
Copenhagen,Denmark,"[55.680661, 12.585828]"
Amsterdam,Netherlands,"[52.373057, 4.892557]"
Lyon,France,"[45.760199, 4.837715]"
Hamburg,Germany,"[53.550682, 9.992895]"
Lisbon,Portugal,"[38.716174, -9.141589]"
Prague,Czech Republic,"[50.080293, 14.428983]"
Oslo,Norway,"[59.912752, 10.734365]"
Helsinki,Finland,"[60.166892, 24.943673]"
Edinburgh,United Kingdom,"[55.951814, -3.207641]"
Geneva,Switzerland,"[46.203548, 6.140003]"
Ljubljana,Slovenia,"[46.058357, 14.520009]"
Athens,Greece,"[37.975527, 23.734855]"
Luxembourg,Luxembourg,"[49.61142, 6.119476]"
Krakow,Poland,"[50.061971, 19.936742]"
